"period_year" "period_no" "period_week" "item_no" "u_sales"
"307" 2015 3 11 48971 150
"308" 2015 3 11 11098 3
"309" 2013 1 2 9667 2
"310" 2013 2 7 13625 29
"311" 2013 2 8 9765 178
"312" 2015 1 1 34598 90
"313" 2013 1 1 4874 5
"314" 2014 1 4 41288 29
"315" 2013 1 1 78562 24
"316" 2014 3 10 17029 4
"317" 2014 3 12 8882 27
"318" 2014 1 5 10581 12
"319" 2015 2 9 92288 1
"320" 2014 2 9 13708 89
"321" 2014 3 12 70001 45
"322" 2015 2 9 75062 4
"323" 2013 1 1 31721 160
"324" 2014 2 9 8856 1088
"325" 2015 1 5 28211 1
"326" 2015 2 7 9870 16
"327" 2014 1 1 19736 10
"328" 2015 1 5 15330 2
"329" 2013 3 10 31793 315
"330" 2014 1 5 48563 1
"331" 2013 1 5 10575 4
"332" 2015 3 11 35320 14
"333" 2015 1 2 23536 10
"334" 2014 2 7 9864 21
"335" 2013 1 3 45712 285
"336" 2013 1 5 31823 280
"337" 2014 1 1 11707 3
"338" 2015 1 4 9249 3
"339" 2014 2 8 8915 11
"340" 2014 3 12 9772 9
"341" 2015 3 12 21381 2
"342" 2015 2 8 8921 182
"343" 2013 2 6 6064 30
"344" 2014 3 10 8662 2
"345" 2013 3 12 9766 5
"346" 2015 3 10 9677 8
"347" 2013 3 12 52262 1
"348" 2015 3 12 75470 1
"349" 2015 1 5 45835 135
"350" 2014 2 8 74777 6
"351" 2014 3 11 10830 2
"352" 2013 3 12 41717 36
"353" 2015 2 8 41653 6
"354" 2015 3 10 28409 7
"355" 2013 1 2 9415 1
"356" 2013 3 10 12171 1
"357" 2015 3 10 44144 23
"358" 2014 2 9 92282 8
"359" 2014 2 6 10321 5
"360" 2015 3 11 20212 1
"361" 2014 1 5 20837 80
"362" 2015 2 6 73275 388
"363" 2015 3 10 11014 1
"364" 2013 3 12 15016 87
"365" 2015 3 11 75818 1
"366" 2015 1 3 30218 78
"367" 2013 2 8 15049 16
"368" 2013 2 8 20502 3
"369" 2014 3 12 74744 6
"370" 2014 2 9 9457 197
"371" 2015 2 9 27425 1
"372" 2013 3 12 8249 67
"373" 2013 2 9 48950 2
"374" 2014 3 12 19765 76
"375" 2014 3 12 11060 93
"376" 2015 1 3 58207 541
"377" 2013 1 3 60219 71
"378" 2015 1 4 45605 25
"379" 2015 2 6 15070 3
"380" 2014 1 1 50639 66
"381" 2015 2 8 12327 152
"382" 2013 1 3 4324 2
"383" 2014 2 9 52291 10
"384" 2015 3 12 8898 1
"385" 2013 2 9 16218 1
"386" 2013 2 7 17226 1
"387" 2013 1 1 48346 2
"388" 2015 1 5 15041 1
"389" 2015 2 6 28492 11
"390" 2015 3 12 36598 21
"391" 2015 2 8 40027 79
"392" 2014 1 2 10022 51
"393" 2014 1 2 39926 38
"394" 2014 2 7 8865 2449
"395" 2013 3 10 11882 16
"396" 2013 1 1 8137 5
"397" 2013 1 4 11032 1
"398" 2013 1 3 49963 2
"399" 2014 2 6 15038 64
"400" 2014 3 10 52277 227
"401" 2014 3 11 9230 200
"402" 2015 3 10 11615 8
"403" 2015 3 11 8619 10
"404" 2014 2 6 61015 55
"405" 2013 3 11 13340 54
"406" 2015 2 9 39994 1
"407" 2014 2 8 12430 3
"408" 2015 3 11 8931 81
"409" 2013 2 9 12076 14
"410" 2013 1 2 81500 50
"411" 2013 1 5 60150 2
"412" 2014 1 3 41493 10
"413" 2014 1 5 92287 1
"414" 2013 1 2 7500 3
"415" 2013 3 11 8886 39
"416" 2013 1 5 92281 8
"417" 2013 2 6 17056 60
"418" 2014 1 3 17211 49
"419" 2013 3 10 18022 2
"420" 2013 2 8 16251 6
"421" 2014 2 8 40021 2
"422" 2015 1 3 11595 3
"423" 2014 1 3 9989 35
"424" 2015 2 6 4476 2
"425" 2014 2 7 15005 1
"426" 2013 1 2 12040 2
"427" 2015 2 6 36630 2
"428" 2015 1 1 10087 107
"429" 2015 2 9 11979 223
"430" 2015 3 11 45602 33
"431" 2013 1 2 48287 18
"432" 2015 3 11 49538 18
"433" 2015 2 8 53137 37
"434" 2013 1 4 11235 6
"435" 2014 2 7 34026 9
"436" 2014 2 6 8008 13
"437" 2013 2 9 31638 9
"438" 2013 1 1 9763 12
"439" 2014 1 2 10938 2
"440" 2013 2 7 53894 72
"441" 2014 1 4 30863 6
"442" 2014 2 8 19689 2
"443" 2014 3 12 10797 6
"444" 2014 3 11 10518 131
"445" 2013 2 7 48152 25
"446" 2015 2 9 8175 61
"447" 2015 2 9 9065 36
"448" 2015 3 10 76166 2
"449" 2013 1 1 8558 18
"450" 2015 2 8 28483 30
"451" 2013 1 5 9865 534
"452" 2015 1 4 8937 4
"453" 2014 2 8 16595 74
"454" 2014 2 7 31653 23
"455" 2013 3 11 15049 21
"456" 2015 1 5 8901 2
"457" 2013 1 1 54569 270
"458" 2015 1 3 19650 47
"459" 2014 3 11 74777 7
"460" 2015 2 9 75036 0
"461" 2013 1 4 46701 58
"462" 2014 2 8 10830 1
"463" 2015 2 9 47047 10
"464" 2015 2 7 36150 6
"465" 2015 1 2 12255 19
"466" 2014 3 12 8856 1074
"467" 2014 1 5 8872 222
"468" 2013 2 6 8088 12
"469" 2014 2 9 11684 35
"470" 2015 1 2 60470 9
"471" 2013 1 1 11990 3
"472" 2013 1 4 13800 4
"473" 2013 3 11 8969 3
"474" 2013 2 7 9340 18
"475" 2013 2 8 30867 5
"476" 2015 3 12 74952 3
"477" 2015 2 6 9903 104
"478" 2014 3 10 8782 81
"479" 2014 3 12 11627 12
"480" 2014 2 6 10235 10
"481" 2015 1 3 12451 35
"482" 2015 2 8 8895 30
"483" 2014 1 4 12011 1
"484" 2015 1 3 9225 9
"485" 2013 1 1 1734 1
"486" 2013 3 12 652 2
"487" 2013 3 11 7057 24
"488" 2014 1 3 9760 10
"489" 2015 2 7 17212 169
"490" 2014 1 2 20473 18
"491" 2015 1 4 20842 161
"492" 2013 1 2 9043 17
"493" 2013 1 2 9933 2
"494" 2013 3 10 48046 121
"495" 2013 1 3 11812 3
"496" 2014 1 2 13334 50
"497" 2015 3 11 13843 21
"498" 2013 1 1 19441 6
"499" 2013 2 9 8020 156
"500" 2014 1 2 2139 18
"501" 2015 3 10 8137 1
"502" 2014 3 10 11696 171
"503" 2015 3 11 8811 784
"504" 2014 3 12 73035 2788
"505" 2013 3 12 18013 10
"506" 2014 2 9 52268 2
"507" 2015 1 2 19623 12
"508" 2014 2 8 30223 1128
"509" 2015 2 8 19466 51
"510" 2013 1 5 41275 1
"511" 2015 2 7 8931 55
"512" 2013 1 4 34252 6
"513" 2013 2 6 13624 5
"514" 2015 3 11 12243 22
"515" 2015 1 3 12737 1
"516" 2015 1 1 19344 3
"517" 2013 2 7 10940 10
"518" 2015 2 8 31288 850
"519" 2013 3 10 7511 10
"520" 2014 3 10 8576 20
"521" 2013 3 10 11026 2
"522" 2013 3 12 8621 3
"523" 2015 1 3 10510 30
"524" 2014 3 10 31739 3
"525" 2014 3 10 10491 2
"526" 2014 1 1 31810 51
"527" 2015 1 2 46985 22
"528" 2014 1 2 1137 3
"529" 2013 2 7 11255 132
"530" 2015 1 3 8283 -1
"531" 2014 1 2 49810 5
"532" 2014 1 3 51689 144
"533" 2014 3 10 8891 16
"534" 2015 1 1 11627 15
"535" 2014 1 2 8193 62
"536" 2014 2 8 8145 139
"537" 2014 3 11 19426 12
"538" 2013 2 8 8680 3
"539" 2014 3 10 50242 346
"540" 2015 2 6 11615 15
"541" 2014 3 12 9795 134
"542" 2014 2 9 9397 18
"543" 2015 1 4 28210 1
"544" 2014 1 2 9902 52
"545" 2014 3 11 8543 26
"546" 2013 2 9 35179 801
"547" 2013 3 12 8730 5
"548" 2015 1 5 16243 1
"549" 2014 3 11 6316 4
"550" 2013 1 3 15015 49
"551" 2014 3 12 8690 3
"552" 2013 1 1 80105 2
"553" 2014 3 12 92285 6
"554" 2013 2 9 74798 5
"555" 2015 2 6 52279 12
"556" 2014 3 10 92280 31
"557" 2014 1 3 10338 4
"558" 2013 3 10 14590 2
"559" 2014 2 7 8782 311
"560" 2015 2 9 52440 1
"561" 2014 2 9 9002 83
"562" 2015 2 8 8606 40
"563" 2015 3 11 12037 281
"564" 2014 1 4 11722 195
"565" 2015 3 12 74955 61
"566" 2015 1 2 48093 11
"567" 2013 1 4 60246 8
"568" 2015 3 12 9353 102
"569" 2013 1 4 17060 18
"570" 2015 1 1 19765 12
"571" 2013 2 6 18370 11
"572" 2015 2 9 13399 2
"573" 2014 3 12 12420 89
"574" 2014 2 7 74753 10
"575" 2013 1 4 12177 1
"576" 2014 2 7 15629 4
"577" 2015 1 1 9294 4
"578" 2014 2 7 58417 100
"579" 2013 2 9 20420 2
"580" 2015 1 5 36555 62
"581" 2014 3 11 74720 12
"582" 2013 3 10 10920 500
"583" 2015 1 2 10572 5
"584" 2013 3 10 48152 21
"585" 2015 3 11 75383 2
"586" 2014 1 4 19645 13
"587" 2014 2 8 11056 15
"588" 2015 1 4 73139 57
"589" 2013 1 3 41653 9
"590" 2014 3 12 9397 24
"591" 2013 1 2 28061 81
"592" 2015 2 7 14590 1
"593" 2014 1 4 19382 18
"594" 2014 3 10 9469 7
"595" 2013 3 11 17050 21
"596" 2013 2 7 9944 205
"597" 2015 3 10 9763 392
"598" 2014 1 4 1729 12
"599" 2015 3 12 93057 55
"600" 2014 2 8 55842 1900
"601" 2014 1 1 12451 15
"602" 2013 1 1 31638 14
"603" 2015 3 12 53140 35
"604" 2015 2 7 12578 32
"605" 2013 2 7 8822 2
"606" 2013 2 8 8886 34
"607" 2015 1 5 11623 25
"608" 2015 2 6 58021 33
"609" 2015 1 3 41293 42
"610" 2014 1 2 8771 600
"611" 2014 1 3 10046 50
"612" 2014 2 9 9709 20
"613" 2015 2 6 52462 2
"614" 2014 1 5 57445 60
"615" 2015 3 10 8870 100
"616" 2013 3 11 10910 1
"617" 2014 2 8 19426 6
"618" 2014 1 4 14238 10
"619" 2013 1 5 10309 1
"620" 2015 1 5 11732 20
"621" 2013 3 11 8680 1
"622" 2014 1 4 13843 10
"623" 2014 2 9 31584 23
"624" 2013 1 1 10387 6
"625" 2013 3 10 21620 8
"626" 2015 3 11 18380 19
"627" 2015 1 2 38100 2
"628" 2013 1 4 11258 -50
"629" 2014 3 11 48955 6
"630" 2015 3 11 75469 2
"631" 2013 3 11 50552 5
"632" 2015 1 2 12003 15
"633" 2013 1 3 12439 55
"634" 2013 2 7 8089 94
"635" 2014 1 1 1654 1
"636" 2013 2 6 16309 24
"637" 2014 2 9 8000 9
"638" 2014 1 3 8615 34
"639" 2015 1 5 20385 47
"640" 2014 2 7 20315 1
"641" 2013 2 7 10316 3
"642" 2013 1 4 15028 2
"643" 2013 2 7 44783 4717
"644" 2015 1 4 11994 7
"645" 2014 1 5 17262 277
"646" 2013 1 1 11615 2
"647" 2014 3 12 60177 11
"648" 2015 3 10 30782 223
"649" 2014 3 11 73320 41
"650" 2015 2 9 33685 20
"651" 2015 1 4 10789 3
"652" 2013 1 1 56026 7
"653" 2014 2 6 17122 100
"654" 2013 1 2 15014 20
"655" 2015 2 8 8692 13
"656" 2013 2 6 8546 0
"657" 2014 3 10 48281 10
"658" 2015 2 6 30948 150
"659" 2015 2 8 1902 1
"660" 2013 2 6 12058 18
"661" 2015 2 6 10361 16
"662" 2014 1 2 74742 5
"663" 2014 2 9 21110 17
"664" 2014 2 6 10175 3
"665" 2013 3 12 51117 160
"666" 2014 2 8 12490 90
"667" 2015 3 12 75218 1
"668" 2013 2 9 39945 2
"669" 2015 1 3 12076 45
"670" 2015 1 5 10332 4
"671" 2014 3 10 9409 15
"672" 2013 3 11 19334 3
"673" 2014 2 8 10575 4
"674" 2015 1 3 7513 5
"675" 2014 2 7 8696 5
"676" 2015 3 11 13013 29
"677" 2013 1 1 9906 69
"678" 2013 1 2 18011 15
"679" 2014 3 12 10940 11
"680" 2013 1 3 8898 29
"681" 2015 3 11 9186 13
"682" 2014 2 7 12947 5
"683" 2015 3 12 17119 12
"684" 2014 3 12 9340 2
"685" 2013 1 2 8273 638
"686" 2015 1 5 8732 22
"687" 2013 1 3 11234 18
"688" 2014 3 10 9094 59
"689" 2013 1 1 12133 93
"690" 2013 1 4 9177 10
"691" 2015 3 12 75327 14
"692" 2013 3 11 11571 24
"693" 2013 1 5 8202 87
"694" 2013 2 7 30276 59
"695" 2013 2 7 21620 8
"696" 2014 2 8 8663 29
"697" 2013 1 2 48911 2
"698" 2015 1 3 35322 17
"699" 2014 2 6 41281 10
"700" 2014 2 9 34810 5
"701" 2014 2 8 20253 50
"702" 2014 1 3 8818 1059
"703" 2015 2 9 17206 20
"704" 2015 3 12 67647 62
"705" 2015 1 1 12457 30
"706" 2013 3 12 9391 352
"707" 2015 2 9 9944 330
"708" 2015 1 4 11728 8
"709" 2014 1 5 19984 47
"710" 2013 2 6 11062 60
"711" 2013 2 9 8598 4
"712" 2013 1 2 1901 7
"713" 2013 2 7 60177 8
"714" 2013 1 3 16243 4
"715" 2015 1 5 12559 159
"716" 2015 3 12 75324 -4
"717" 2015 3 11 8184 25
"718" 2015 1 2 50672 113
"719" 2015 2 7 14759 10
"720" 2015 3 10 16793 5
"721" 2015 2 7 45602 28
"722" 2014 2 7 8092 5
"723" 2014 3 10 10405 68
"724" 2013 2 6 8543 11
"725" 2014 1 1 52093 3
"726" 2015 2 8 15038 3
"727" 2013 1 2 58400 300
"728" 2014 3 11 15198 1
"729" 2013 1 2 30809 1650
"730" 2014 2 9 12457 236
"731" 2015 1 2 15206 30
"732" 2015 1 5 28065 36
"733" 2014 3 10 17066 2
"734" 2014 3 10 11633 320
"735" 2013 2 7 54956 942
"736" 2014 1 2 9876 1132
"737" 2015 1 1 8003 5
"738" 2014 2 9 9231 1
"739" 2013 2 6 11769 3
"740" 2013 2 7 47986 0
"741" 2014 1 1 30476 15
"742" 2013 3 11 16191 9
"743" 2013 1 4 52357 5
"744" 2013 2 8 12387 8
"745" 2014 2 6 79157 2
"746" 2013 3 12 9912 80
"747" 2013 1 2 48144 3
"748" 2013 1 4 9861 18
"749" 2013 1 1 4476 1
"750" 2013 3 11 31617 58
"751" 2015 1 1 30479 1
"752" 2013 2 8 1289 5
"753" 2013 1 5 12347 2
"754" 2013 3 10 9798 7
"755" 2013 1 5 8912 163
"756" 2013 2 7 31481 7
"757" 2014 1 5 12556 10
"758" 2013 3 11 10077 100
"759" 2015 2 6 50281 17
"760" 2015 2 7 27869 14
"761" 2013 1 1 46972 58
"762" 2013 2 6 20763 35
"763" 2013 2 8 11571 14
"764" 2015 2 9 8607 2
"765" 2013 1 4 10491 18
"766" 2013 1 2 15011 207
"767" 2015 2 6 37062 112
"768" 2015 3 11 9472 3
"769" 2013 3 10 1723 9
"770" 2014 1 5 8809 301
"771" 2015 2 8 8666 11
"772" 2015 3 12 30372 3
"773" 2013 2 6 7544 1
"774" 2013 2 7 18371 45
"775" 2015 3 10 11051 1
"776" 2014 1 3 75081 1
"777" 2015 1 4 54175 10
"778" 2015 3 11 45877 1700
"779" 2014 2 9 8312 30
"780" 2015 3 12 6608 3
"781" 2015 3 12 28483 30
"782" 2013 2 6 12579 1
"783" 2015 1 2 13715 26
"784" 2015 3 11 12930 2
"785" 2015 3 10 31672 87
"786" 2015 2 7 35151 21
"787" 2014 2 8 6579 21
"788" 2013 1 3 9777 5
"789" 2014 1 5 30120 3
"790" 2014 3 10 9864 100
"791" 2013 1 3 41281 7
"792" 2014 3 11 12430 1
"793" 2014 1 3 8784 19
"794" 2015 2 7 19439 18
"795" 2014 2 9 9772 8
"796" 2015 1 5 73246 56
"797" 2014 3 10 34135 200
"798" 2015 3 10 58336 2
"799" 2013 2 9 34240 26
"800" 2013 2 9 8272 10
"801" 2013 2 9 41293 62
"802" 2013 1 3 12004 2
"803" 2013 2 8 9825 894
"804" 2015 2 8 11640 3
"805" 2014 3 12 31621 121
"806" 2013 3 10 9944 395
"807" 2015 2 9 18348 27
"808" 2014 1 3 50859 256
"809" 2014 3 10 34026 20
"810" 2015 1 5 8589 15
"811" 2013 1 5 48268 53
"812" 2015 2 6 8618 30
"813" 2014 1 2 1655 1
"814" 2014 2 7 50674 117
"815" 2013 1 3 20720 1
"816" 2014 2 9 19762 1
"817" 2015 2 8 11955 119
"818" 2013 1 2 4383 3
"819" 2013 1 5 13801 6
"820" 2013 2 7 19645 14
"821" 2015 2 6 12445 142
"822" 2014 1 2 48980 5350
"823" 2014 2 6 54958 961
"824" 2015 2 6 12133 263
"825" 2013 2 6 11915 38
"826" 2015 1 5 72851 27
"827" 2015 2 8 6608 1
"828" 2015 2 8 4381 2
"829" 2015 2 8 20720 22
"830" 2015 2 8 9837 734
"831" 2013 2 9 8850 188
"832" 2015 3 11 76239 3
"833" 2014 1 4 48911 8
"834" 2014 1 2 8820 1
"835" 2014 2 7 13402 30
"836" 2014 1 5 20525 1
"837" 2013 1 1 34526 101
"838" 2015 2 9 7780 12
"839" 2015 3 11 38260 450
"840" 2015 1 1 58013 -2
"841" 2015 1 2 16251 3
"842" 2014 3 12 52291 19
"843" 2015 2 8 7501 2
"844" 2014 2 8 8600 64
"845" 2015 1 1 17226 1
"846" 2015 3 10 15336 1
"847" 2014 2 6 9923 27
"848" 2014 2 8 52241 10
"849" 2015 1 2 49009 42
"850" 2015 3 11 75612 86
"851" 2015 1 1 73035 927
"852" 2015 1 5 8277 263
"853" 2013 2 7 11882 20
"854" 2014 2 6 11632 12
"855" 2015 3 10 9989 18
"856" 2013 1 5 9974 29
"857" 2013 2 9 19733 11
"858" 2014 1 4 18380 10
"859" 2015 3 12 76183 2
"860" 2015 2 6 50713 67
"861" 2014 3 12 10087 835
"862" 2014 1 3 31632 45
"863" 2015 3 12 9691 3
"864" 2014 2 6 15350 2
"865" 2014 2 8 9828 49
"866" 2015 2 7 9186 17
"867" 2014 1 1 41897 26
"868" 2015 1 5 73249 106
"869" 2014 1 2 6590 363
"870" 2014 1 2 9444 48
